index,timestep,plant,availability
0,t0001,p2072,0.0
790,t0001,p3169,0.5478185208203853
789,t0001,p3168,0.5478185208203853
788,t0001,p3167,0.5478185208203853
787,t0001,p3166,0.5478185208203853
786,t0001,p3165,0.5478185208203853
785,t0001,p3164,0.5478185208203853
791,t0001,p3170,0.5478185208203853
784,t0001,p3163,0.5478185208203853
782,t0001,p3161,0.5478185208203853
781,t0001,p3160,0.5478185208203853
780,t0001,p3159,0.5478185208203853
779,t0001,p3158,0.5478185208203853
778,t0001,p3157,0.5478185208203853
777,t0001,p3156,0.5478185208203853
783,t0001,p3162,0.5478185208203853
776,t0001,p3155,0.5478185208203853
792,t0001,p3171,0.5478185208203853
794,t0001,p3173,0.5478185208203853
808,t0001,p3187,0.5478185208203853
807,t0001,p3186,0.5478185208203853
806,t0001,p3185,0.5478185208203853
805,t0001,p3184,0.5478185208203853
804,t0001,p3183,0.5478185208203853
803,t0001,p3182,0.5478185208203853
793,t0001,p3172,0.5478185208203853
802,t0001,p3181,0.5478185208203853
800,t0001,p3179,0.5478185208203853
799,t0001,p3178,0.5478185208203853
798,t0001,p3177,0.5478185208203853
797,t0001,p3176,0.5478185208203853
796,t0001,p3175,0.5478185208203853
795,t0001,p3174,0.5478185208203853
801,t0001,p3180,0.5478185208203853
775,t0001,p3154,0.5478185208203853
774,t0001,p3153,0.5478185208203853
773,t0001,p3152,0.5478185208203853
753,t0001,p3132,0.5478185208203853
752,t0001,p3131,0.5478185208203853
751,t0001,p3130,0.5478185208203853
750,t0001,p3129,0.5478185208203853
749,t0001,p3128,0.5478185208203853
748,t0001,p3127,0.5478185208203853
754,t0001,p3133,0.5478185208203853
745,t0001,p3124,0.5478185208203853
743,t0001,p3122,0.5478185208203853
742,t0001,p3121,0.5478185208203853
740,t0001,p3119,0.5478185208203853
746,t0001,p3125,0.5478185208203853
756,t0001,p3135,0.5478185208203853
757,t0001,p3136,0.5478185208203853
772,t0001,p3151,0.5478185208203853
771,t0001,p3150,0.5478185208203853
770,t0001,p3149,0.5478185208203853
769,t0001,p3148,0.5478185208203853
768,t0001,p3147,0.5478185208203853
767,t0001,p3146,0.5478185208203853
766,t0001,p3145,0.5478185208203853
765,t0001,p3144,0.5478185208203853
764,t0001,p3143,0.5478185208203853
763,t0001,p3142,0.5478185208203853
762,t0001,p3141,0.5478185208203853
761,t0001,p3140,0.5478185208203853
760,t0001,p3139,0.5478185208203853
759,t0001,p3138,0.5478185208203853
758,t0001,p3137,0.5478185208203853
809,t0001,p3188,0.5478185208203853
810,t0001,p3189,0.5478185208203853
811,t0001,p3190,0.5478185208203853
812,t0001,p3191,0.5478185208203853
863,t0001,p3242,0.5478185208203853
862,t0001,p3241,0.5478185208203853
861,t0001,p3240,0.5478185208203853
860,t0001,p3239,0.5478185208203853
859,t0001,p3238,0.5478185208203853
858,t0001,p3237,0.5478185208203853
864,t0001,p3243,0.5478185208203853
857,t0001,p3236,0.5478185208203853
855,t0001,p3234,0.5478185208203853
854,t0001,p3233,0.5478185208203853
853,t0001,p3232,0.5478185208203853
852,t0001,p3231,0.5478185208203853
851,t0001,p3230,0.5478185208203853
850,t0001,p3229,0.5478185208203853
856,t0001,p3235,0.5478185208203853
865,t0001,p3244,0.5478185208203853
866,t0001,p3245,0.5478185208203853
867,t0001,p3246,0.5478185208203853
882,t0001,p3261,0.5478185208203853
881,t0001,p3260,0.5478185208203853
879,t0001,p3258,0.5478185208203853
878,t0001,p3257,0.5478185208203853
877,t0001,p3256,0.5478185208203853
875,t0001,p3254,0.5478185208203853
874,t0001,p3253,0.5478185208203853
872,t0001,p3251,0.5478185208203853
871,t0001,p3250,0.5478185208203853
870,t0001,p3249,0.5478185208203853
869,t0001,p3248,0.5478185208203853
868,t0001,p3247,0.5478185208203853
849,t0001,p3228,0.5478185208203853
848,t0001,p3227,0.5478185208203853
846,t0001,p3225,0.5478185208203853
826,t0001,p3205,0.5478185208203853
825,t0001,p3204,0.5478185208203853
824,t0001,p3203,0.5478185208203853
823,t0001,p3202,0.5478185208203853
822,t0001,p3201,0.5478185208203853
821,t0001,p3200,0.5478185208203853
827,t0001,p3206,0.5478185208203853
820,t0001,p3199,0.5478185208203853
817,t0001,p3196,0.5478185208203853
816,t0001,p3195,0.5478185208203853
815,t0001,p3194,0.5478185208203853
814,t0001,p3193,0.5478185208203853
813,t0001,p3192,0.5478185208203853
819,t0001,p3198,0.5478185208203853
828,t0001,p3207,0.5478185208203853
829,t0001,p3208,0.5478185208203853
830,t0001,p3209,0.5478185208203853
843,t0001,p3222,0.5478185208203853
842,t0001,p3221,0.5478185208203853
841,t0001,p3220,0.5478185208203853
840,t0001,p3219,0.5478185208203853
839,t0001,p3218,0.5478185208203853
838,t0001,p3217,0.5478185208203853
837,t0001,p3216,0.5478185208203853
836,t0001,p3215,0.5478185208203853
835,t0001,p3214,0.5478185208203853
834,t0001,p3213,0.5478185208203853
833,t0001,p3212,0.5478185208203853
832,t0001,p3211,0.5478185208203853
831,t0001,p3210,0.5478185208203853
847,t0001,p3226,0.5478185208203853
737,t0001,p3116,0.5478185208203853
736,t0001,p3115,0.5478185208203853
642,t0001,p2714,0.0
641,t0001,p2713,0.0
640,t0001,p2712,0.0
