index,node_i,node_j,x_pu,r_pu,capacity,contingency
l11522,n5543,n5557,0.0014897753026245,0.0003720517795238,169.18672288332792,True
l11516,n5543,n5557,0.0014133237131189,0.0003529590009868,169.18672288332792,True
l6920,n5557,n5579,0.0005679602031036,0.0001418405875645,169.18672288332792,True
l9289,n5557,n5579,0.0005693995510994,0.0001422000457877,169.18672288332792,True
l382,n5602,n5695,0.0006949142529752,0.0001735456910719,169.18672288332792,False
l965,n5713,n5722,0.0012334770250016,0.0003080446570333,1500.0,False
l6643,n5648,n5726,0.0012684313835625,0.0003167740481581,169.18672288332792,False
l11572_1,n3307,n7769,0.0003891159233612,7.756463588595471e-05,491.5560191880474,True
l9636_1,n4715,n7261,0.0001403714812476,1.711847332288552e-05,1698.1026117405274,True
l11025_1,n6850,n7788,9.810531675711498e-06,1.1964063019160365e-06,1698.1026117405274,True
l11460_1,n3467,n7889,8.332745151519133e-05,1.0161884331120896e-05,1698.1026117405274,True
l18_1,n4551,n7988,1.532639726113373e-05,1.869072836723626e-06,1698.1026117405274,True
l697_1,n3310,n3316,0.0002185883478056,4.3572428134012565e-05,491.5560191880474,True
l700_1,n3303,n3316,0.0002195971598556,4.3773520237004384e-05,491.5560191880474,True
l521_1,n3320,n3348,8.77046736828448e-05,1.7482659205882687e-05,491.5560191880474,True
l685_1,n3321,n3348,0.0003149872571834,6.278815757810418e-05,491.5560191880474,True
l681_1,n3454,n3458,0.0003835222348967,7.644961492958058e-05,491.5560191880474,True
l7492_1,n3458,n3460,4.661700548436734e-05,9.292426342398804e-06,491.5560191880474,True
l682_1,n3454,n3463,0.0002834972635539,5.651108243601112e-05,491.5560191880474,True
l556_1,n3464,n3466,0.0001742664790226,3.473750412411409e-05,491.5560191880474,True
l850_1,n3474,n3482,9.661263355496206e-05,1.9258332270092104e-05,491.5560191880474,True
l851_1,n3482,n3487,0.0001761244232199,3.510785844915941e-05,491.5560191880474,True
l852_1,n3482,n3487,0.0001774693171489,3.537594361773483e-05,491.5560191880474,True
l653_1,n3489,n3491,0.0002235356122768,4.4558593809336205e-05,491.5560191880474,True
l652_1,n3494,n3499,0.0003421122675488,6.819513638848017e-05,491.5560191880474,True
l687_1,n3464,n3504,0.0001304076822271,2.5994886822684425e-05,491.5560191880474,True
l854_1,n3463,n3504,0.0001194340240212,2.3807446648754377e-05,491.5560191880474,True
l888,n3454,n3587,0.000119142079104,2.3749251648653304e-05,491.5560191880474,False
l5529_1,n4576,n7988,3.280561225487489e-05,4.000684421326207e-06,1698.1026117405274,True
l7491_1,n3456,n3848,5.279774858713608e-05,1.0524468156904203e-05,491.5560191880474,True
l5564_1,n4543,n7988,1.392655846604172e-05,1.698360788541673e-06,1698.1026117405274,True
l698_1,n3316,n4500,0.0005053546964685,0.0001007351554422,491.5560191880474,True
l699_1,n4500,n4511,0.0003432262881666,6.84172002989922e-05,491.5560191880474,True
l561_1,n4513,n4522,0.000165828255597,3.3055466231969015e-05,491.5560191880474,True
l702_1,n4520,n4523,0.0001238481366905,2.4687336217386444e-05,491.5560191880474,True
l703_1,n4520,n4526,0.0001042682253308,2.078436385333513e-05,491.5560191880474,True
l704_1,n4524,n4530,0.0001620524402667,3.2302812013298185e-05,491.5560191880474,True
l6693_1,n4505,n4531,0.0001027307718814,2.0477894727190663e-05,491.5560191880474,True
l912_1,n4532,n4533,0.0002270098607584,4.5251135034899126e-05,491.5560191880474,True
l11390_1,n4535,n4541,0.0002370146479044,4.7245444765008086e-05,491.5560191880474,True
l939_1,n4538,n4560,0.0001534693279079,3.0591892606245115e-05,491.5560191880474,True
l572_1,n4505,n4577,7.333834509213441e-05,1.4618939221023473e-05,491.5560191880474,True
l721_1,n4594,n4595,0.0001421755152423,2.834063426758699e-05,491.5560191880474,True
l929_1,n4598,n4599,5.945083573728952e-05,1.1850664931021166e-05,491.5560191880474,True
l926_1,n4600,n4601,0.0001227924131996,2.4476892996598763e-05,491.5560191880474,True
l598,n4583,n4608,5.10864761906597e-05,1.0183350735679676e-05,491.5560191880474,False
l903_1,n4601,n4611,0.0002859339078193,5.699679225635503e-05,491.5560191880474,True
l936_1,n4611,n4614,0.000327560753301,6.529450231915512e-05,491.5560191880474,True
l930_1,n4612,n4614,9.939759582225668e-05,1.981347425028372e-05,491.5560191880474,True
l649_1,n4605,n4617,0.0002816195544067,5.613678825383429e-05,491.5560191880474,True
l6951_1,n4622,n4633,6.151783663922887e-05,1.226269168888283e-05,491.5560191880474,True
l674_1,n4584,n4638,0.0001558282658174,3.1062112787534746e-05,491.5560191880474,True
l673_1,n4640,n4642,0.0001513387747357,3.0167197621734425e-05,491.5560191880474,True
l892_1,n4648,n4650,0.000145269661146,2.8957407537423968e-05,491.5560191880474,True
l672_1,n4629,n4652,0.0001943746945079,3.874578628065198e-05,491.5560191880474,True
l823_1,n4650,n4654,0.0001019925492467,2.033074071363372e-05,491.5560191880474,True
l6954_1,n4622,n4654,6.500506142288352e-05,1.2957819552734255e-05,491.5560191880474,True
l6952_1,n4650,n4659,0.000113169559601,2.255871619954884e-05,491.5560191880474,True
l6953_1,n4656,n4659,8.853343464927237e-05,1.7647860727429708e-05,491.5560191880474,True
l675_1,n4642,n4662,0.0001591955308237,3.173332840339711e-05,491.5560191880474,True
l677_1,n4661,n4668,7.406733469529048e-05,1.4764252763180826e-05,491.5560191880474,True
l830_1,n4668,n4670,4.895317675378298e-05,9.758108323013217e-06,491.5560191880474,True
l679_1,n4672,n4676,9.451919396679702e-05,1.8841035342218675e-05,491.5560191880474,True
l553_1,n4656,n4680,0.0003637858495706,7.251545174166062e-05,491.5560191880474,True
l678_1,n4670,n4686,0.0001388971345634,2.768713645782136e-05,491.5560191880474,True
l562_1,n4686,n4688,9.976139118847047e-05,1.9885991599030656e-05,491.5560191880474,True
l676_1,n4648,n4688,0.000267781903953,5.337845261522082e-05,491.5560191880474,True
l694_1,n4678,n4688,0.0002469867231381,4.9233233848140255e-05,491.5560191880474,True
l6937_1,n4686,n4689,6.601410798481092e-05,1.3158958402287896e-05,491.5560191880474,True
l708_1,n4689,n4691,6.891229962577129e-05,1.373667102174843e-05,491.5560191880474,True
l11368_1,n4644,n4692,0.0001674026242907,3.336929387855008e-05,491.5560191880474,True
l651_1,n4644,n4698,0.0001915226412158,3.817727067425356e-05,491.5560191880474,True
l563_1,n4700,n4704,0.000100909158243,2.0114782374028265e-05,491.5560191880474,True
