index,timestep,node,net_export
0,t0001,n3303,0.0
406,t0001,n5554,0.0
407,t0001,n5555,0.0
408,t0001,n5556,0.0
409,t0001,n5557,0.0
410,t0001,n5559,-547.765
411,t0001,n5572,0.0
412,t0001,n5579,0.0
413,t0001,n5591,0.0
414,t0001,n5592,0.0
415,t0001,n5596,0.0
416,t0001,n5597,0.0
417,t0001,n5598,0.0
418,t0001,n5599,0.0
419,t0001,n5602,-20.76064522025223
420,t0001,n5606,-416.74317309449816
405,t0001,n5553,0.0
421,t0001,n5643,0.0
404,t0001,n5552,0.0
402,t0001,n5550,0.0
387,t0001,n5534,0.0
388,t0001,n5535,0.0
389,t0001,n5536,0.0
390,t0001,n5537,0.0
391,t0001,n5538,0.0
392,t0001,n5539,0.0
393,t0001,n5540,0.0
394,t0001,n5541,0.0
395,t0001,n5542,0.0
396,t0001,n5543,0.0
397,t0001,n5544,0.0
398,t0001,n5545,0.0
399,t0001,n5546,0.0
400,t0001,n5547,0.0
401,t0001,n5549,0.0
403,t0001,n5551,0.0
422,t0001,n5644,0.0
423,t0001,n5645,0.0
424,t0001,n5646,0.0
445,t0001,n5668,0.0
446,t0001,n5669,0.0
447,t0001,n5670,0.0
448,t0001,n5671,0.0
449,t0001,n5672,0.0
450,t0001,n5673,0.0
451,t0001,n5674,0.0
452,t0001,n5675,0.0
453,t0001,n5676,0.0
454,t0001,n5677,0.0
455,t0001,n5678,0.0
456,t0001,n5679,0.0
457,t0001,n5680,0.0
458,t0001,n5681,0.0
459,t0001,n5682,0.0
444,t0001,n5667,0.0
443,t0001,n5666,0.0
442,t0001,n5665,0.0
441,t0001,n5664,0.0
425,t0001,n5647,0.0
426,t0001,n5648,0.0
427,t0001,n5649,0.0
428,t0001,n5650,0.0
429,t0001,n5651,0.0
430,t0001,n5653,0.0
431,t0001,n5654,0.0
386,t0001,n5525,-0.0
432,t0001,n5655,0.0
434,t0001,n5657,0.0
435,t0001,n5658,0.0
436,t0001,n5659,0.0
437,t0001,n5660,0.0
438,t0001,n5661,0.0
439,t0001,n5662,0.0
440,t0001,n5663,0.0
433,t0001,n5656,0.0
461,t0001,n5684,0.0
385,t0001,n4855,0.0
383,t0001,n4852,0.0
329,t0001,n4751,0.0
330,t0001,n4752,0.0
331,t0001,n4753,0.0
332,t0001,n4754,0.0
333,t0001,n4755,0.0
334,t0001,n4756,0.0
335,t0001,n4757,0.0
336,t0001,n4758,0.0
337,t0001,n4759,0.0
338,t0001,n4760,0.0
339,t0001,n4761,0.0
340,t0001,n4762,0.0
341,t0001,n4763,0.0
342,t0001,n4764,0.0
343,t0001,n4765,0.0
328,t0001,n4750,0.0
344,t0001,n4766,0.0
327,t0001,n4749,0.0
325,t0001,n4747,0.0
310,t0001,n4732,0.0
311,t0001,n4733,0.0
312,t0001,n4734,0.0
313,t0001,n4735,0.0
314,t0001,n4736,0.0
315,t0001,n4737,0.0
