index,zone,slack,voltage
n3303,south,True,220.0
n3304,south,False,380.0
n3305,south,False,380.0
n3306,south,False,380.0
n3307,south,False,220.0
n3308,south,False,380.0
n3309,south,False,380.0
n3310,south,False,220.0
n3311,south,False,380.0
n3312,south,False,380.0
n3313,south,False,380.0
n3314,south,False,380.0
n3315,south,False,380.0
n3316,south,False,220.0
n3317,south,False,380.0
n3318,south,False,220.0
n3319,south,False,380.0
n3320,south,False,220.0
n3321,south,False,220.0
n3322,south,False,380.0
n3323,south,False,220.0
n3324,south,False,380.0
n3348,AT,False,220.0
n3453,south,False,380.0
n3454,south,False,220.0
n3455,south,False,380.0
n3456,south,False,220.0
n3457,south,False,380.0
n3458,south,False,220.0
n3459,south,False,380.0
n3460,south,False,220.0
n3461,south,False,380.0
n3462,south,False,380.0
n3463,south,False,220.0
n3464,south,False,220.0
n3465,south,False,380.0
n3466,south,False,220.0
n3467,south,False,380.0
n3468,south,False,220.0
n3469,south,False,220.0
n3470,south,False,380.0
n3471,south,False,220.0
n3472,south,False,380.0
n3473,south,False,380.0
n3474,south,False,220.0
n3475,south,False,380.0
n3476,south,False,380.0
n3477,south,False,380.0
n3478,south,False,380.0
n3479,south,False,380.0
n3480,south,False,380.0
n3481,south,False,380.0
n3482,south,False,220.0
n3483,south,False,380.0
n3484,south,False,380.0
n3485,south,False,380.0
n3486,south,False,380.0
n3487,south,False,220.0
n3488,south,False,380.0
n3489,south,False,220.0
n3490,south,False,380.0
n3491,south,False,220.0
n3492,south,False,380.0
n3493,south,False,380.0
n3494,south,False,220.0
n3495,south,False,380.0
n3496,south,False,380.0
n3497,south,False,380.0
n3498,south,False,380.0
n3499,south,False,220.0
n3500,south,False,380.0
n3501,south,False,380.0
n3502,south,False,380.0
n3503,south,False,380.0
n3504,south,False,220.0
n3505,south,False,220.0
n3507,south,False,380.0
n3512,AT,False,380.0
n3520,AT,False,380.0
n3581,FR,False,380.0
n3587,FR,False,220.0
n3610,FR,False,380.0
n3735,CH,False,380.0
n3739,CH,False,380.0
n3827,CH,False,380.0
n3848,south,False,220.0
n4494,CZ,False,380.0
n4496,east,False,380.0
n4497,east,False,380.0
n4498,north_east,False,380.0
n4499,south,False,380.0
n4500,south,False,220.0
n4501,east,False,220.0
n4502,east,False,380.0
n4503,north_east,False,380.0
n4504,north_east,False,380.0
n4505,north_east,False,220.0
n4506,north_east,False,380.0
n4507,east,False,380.0
n4508,east,False,380.0
n4509,south,False,380.0
n4510,south,False,380.0
n4511,south,False,220.0
n4512,south,False,380.0
n4513,east,False,220.0
n4514,east,False,380.0
n4515,east,False,220.0
n4516,east,False,380.0
n4517,east,False,220.0
n4518,east,False,380.0
n4519,east,False,380.0
n4520,east,False,220.0
n4521,east,False,380.0
n4522,east,False,220.0
n4523,east,False,220.0
n4524,east,False,220.0
n4525,east,False,380.0
n4526,east,False,220.0
n4527,east,False,380.0
n4528,north_east,False,380.0
n4529,east,False,380.0
n4530,east,False,220.0
n4531,north_east,False,220.0
n4532,north_east,False,220.0
n4533,north_east,False,220.0
n4534,north_east,False,380.0
n4535,north_east,False,220.0
n4536,north_east,False,380.0
n4537,east,False,380.0
n4538,east,False,220.0
n4539,east,False,380.0
n4540,east,False,380.0
n4541,north_east,False,220.0
n4542,north_east,False,380.0
n4543,north_east,False,380.0
n4544,north_east,False,380.0
n4545,north_east,False,220.0
n4546,north_east,False,380.0
n4547,east,False,380.0
n4548,east,False,380.0
n4549,east,False,380.0
n4550,north_east,False,380.0
n4551,north_east,False,380.0
n4552,north_east,False,380.0
n4553,east,False,380.0
n4554,east,False,380.0
n4555,east,False,380.0
n4556,east,False,380.0
n4557,east,False,380.0
n4558,east,False,380.0
n4559,east,False,380.0
n4560,east,False,220.0
n4561,east,False,380.0
n4562,east,False,380.0
n4569,PL,False,380.0
n4575,east,False,220.0
n4576,north_east,False,380.0
n4577,north_east,False,220.0
n4579,north_east,False,380.0
n4580,south,False,220.0
n4581,south,False,380.0
n4583,south,False,220.0
n4584,west,False,220.0
n4585,west,False,380.0
n4586,south,False,380.0
n4587,south,False,220.0
n4588,south,False,380.0
n4589,west,False,220.0
n4590,west,False,220.0
n4591,west,False,380.0
n4592,west,False,380.0
n4593,west,False,220.0
n4594,west,False,220.0
n4595,west,False,220.0
n4596,north_east,False,380.0
n4597,south,False,380.0
n4598,south,False,220.0
n4599,south,False,220.0
n4600,south,False,220.0
n4601,south,False,220.0
n4602,south,False,380.0
n4603,south,False,220.0
n4604,west,False,380.0
n4605,south,False,220.0
n4606,south,False,380.0
n4607,south,False,380.0
