index,node,mc_el,mc_heat,g_max,h_max,eta,plant_type,heatarea,storage_capacity
p0,n4763,17.88375558867363,0.0,16.8,0.0,0.4025999999999998,conventional,,
p1,n8046,17.548135510602005,0.0,9.8,0.0,0.4102999999999999,conventional,,
p2,n5556,17.399710004833256,0.0,138.9,600.0,0.4137999999999999,conventional,,
p3,n7261,17.370325693606762,0.0,1.1,0.0,0.4144999999999998,conventional,,
p5,n4536,17.458777885548017,0.0,16.0,0.0,0.4123999999999999,conventional,,
p6,n6842,17.370325693606762,0.0,17.7,0.0,0.4144999999999998,conventional,,
p7,n4544,17.370325693606762,0.0,16.5,0.0,0.4144999999999998,conventional,,
p8,n7726,17.429193899782145,0.0,20.0,0.0,0.4130999999999998,conventional,,
p9,n4762,17.341040462427756,0.0,18.1,0.0,0.4151999999999998,conventional,,
p10,n4731,17.821782178217827,0.0,18.0,0.0,0.4039999999999999,conventional,,
p11,n3476,17.821782178217827,0.0,13.2,0.0,0.4039999999999999,conventional,,
p12,n3476,18.764659890539487,0.0,8.0,0.0,0.3836999999999999,conventional,,
p13,n5651,17.370325693606762,0.0,20.0,0.0,0.4144999999999998,conventional,,
p14,n7681,17.341040462427756,0.0,20.0,0.0,0.4151999999999998,conventional,,
p15,n4619,17.429193899782145,0.0,12.6,0.0,0.4130999999999998,conventional,,
p16,n4716,17.399710004833256,0.0,12.4,0.0,0.4137999999999999,conventional,,
p17,n4746,17.48846247267428,0.0,12.1,0.0,0.4116999999999999,conventional,,
p18,n4690,17.399710004833256,0.0,20.0,0.0,0.4137999999999999,conventional,,
p19,n5697,17.370325693606762,0.0,20.0,0.0,0.4144999999999998,conventional,,
p20,n4592,17.458777885548017,0.0,16.8,0.0,0.4123999999999999,conventional,,
p21,n8066,17.458777885548017,0.0,18.6,0.0,0.4123999999999999,conventional,,
p22,n3497,17.399710004833256,0.0,14.0,0.0,0.4137999999999999,conventional,,
p23,n3466,17.224880382775122,0.0,78.0,0.0,0.4179999999999999,conventional,,
p24,n4552,17.429193899782145,0.0,17.1,0.0,0.4130999999999998,conventional,,
p25,n3305,17.311853811012266,0.0,15.1,0.0,0.4158999999999999,conventional,,
p26,n5541,17.341040462427756,0.0,17.8,0.0,0.4151999999999998,conventional,,
p27,n4590,17.370325693606762,0.0,20.0,0.0,0.4144999999999998,conventional,,
p28,n6842,17.341040462427756,0.0,20.0,0.0,0.4151999999999998,conventional,,
p29,n7688,17.429193899782145,0.0,9.8,0.0,0.4130999999999998,conventional,,
p30,n7798,17.429193899782145,0.0,17.9,0.0,0.4130999999999998,conventional,,
p31,n7798,17.51824817518249,0.0,59.2,0.0,0.4109999999999998,conventional,,
p32,n4500,17.60821716801175,0.0,15.6,0.0,0.4088999999999998,conventional,,
p33,n5650,17.429193899782145,0.0,20.0,0.0,0.4130999999999998,conventional,,
p34,n3475,17.399710004833256,0.0,12.3,0.0,0.4137999999999999,conventional,,
p35,n4676,17.399710004833256,0.0,15.0,0.0,0.4137999999999999,conventional,,
p36,n5541,17.253774263120068,0.0,13.3,0.0,0.4172999999999998,conventional,,
p37,n4855,17.429193899782145,0.0,14.0,0.0,0.4130999999999998,conventional,,
p38,n7783,17.429193899782145,0.0,8.7,0.0,0.4130999999999998,conventional,,
p39,n7783,17.16738197424893,0.0,4.5,0.0,0.4194,conventional,,
p40,n5658,17.341040462427756,0.0,1.9,0.0,0.4151999999999998,conventional,,
p41,n4619,17.341040462427756,0.0,6.7,0.0,0.4151999999999998,conventional,,
p42,n4529,17.253774263120068,0.0,18.1,0.0,0.4172999999999998,conventional,,
p43,n3312,17.429193899782145,0.0,10.0,0.0,0.4130999999999998,conventional,,
p44,n3484,45.11766886806935,0.0,336.0,280.0,0.4174999999999995,conventional,,
p45,n3484,47.461185343821526,0.0,433.0,280.0,0.3875000000000002,conventional,,
p46,n4693,69.20381042441176,0.0,19.0,0.0,0.2324999999999999,conventional,,
p47,n6842,48.32513071126226,0.0,717.0,20.0,0.3774999999999995,conventional,,
p48,n5539,51.21530765989465,0.0,124.0,244.0,0.3475000000000001,conventional,,
p49,n5539,46.44199979316885,0.0,89.0,136.0,0.4000000000000003,conventional,,
p50,n5539,47.04572117030708,0.0,282.0,363.0,0.3925,conventional,,
p51,n5539,46.84193336367818,0.0,282.0,363.0,0.3949999999999996,conventional,,
p52,n7653,47.88751132579388,0.0,726.0,0.0,0.3825000000000003,conventional,,
p53,n4776,47.67296415954159,0.0,43.3,0.0,0.3849999999999998,conventional,,
