index,timestep,plant,availability,availability_da
0,t0001,Solar 04,0.0,0.0
1,t0001,Solar 49,0.0,0.0
2,t0001,Solar 48,0.0,0.0
3,t0001,Solar 47,0.0,0.0
4,t0001,Solar 46,0.0,0.0
5,t0001,Solar 45,0.0,0.0
6,t0001,Solar 44,0.0,0.0
7,t0001,Solar 43,0.0,0.0
8,t0001,Solar 42,0.0,0.0
9,t0001,Solar 41,0.0,0.0
10,t0001,Solar 40,0.0,0.0
11,t0001,Solar 03,0.0,0.0
12,t0001,Solar 39,0.0,0.0
13,t0001,Solar 38,0.0,0.0
14,t0001,Solar 37,0.0,0.0
15,t0001,Solar 36,0.0,0.0
16,t0001,Solar 35,0.0,0.0
17,t0001,Solar 34,0.0,0.0
18,t0001,Solar 33,0.0,0.0
19,t0001,Solar 32,0.0,0.0
20,t0001,Solar 31,0.0,0.0
21,t0001,Solar 30,0.0,0.0
22,t0001,Solar 02,0.0,0.0
23,t0001,Solar 29,0.0,0.0
24,t0001,Solar 28,0.0,0.0
25,t0001,Solar 50,0.0,0.0
26,t0001,Solar 52,0.0,0.0
27,t0001,Solar 53,0.0,0.0
28,t0001,Solar 54,0.0,0.0
29,t0001,Solar 09,0.0,0.0
30,t0001,Solar 08,0.0,0.0
31,t0001,Solar 07,0.0,0.0
32,t0001,Solar 75,0.0,0.0
33,t0001,Solar 74,0.0,0.0
34,t0001,Solar 73,0.0,0.0
35,t0001,Solar 72,0.0,0.0
36,t0001,Solar 71,0.0,0.0
37,t0001,Solar 70,0.0,0.0
38,t0001,Solar 06,0.0,0.0
39,t0001,Solar 69,0.0,0.0
40,t0001,Solar 68,0.0,0.0
41,t0001,Solar 27,0.0,0.0
42,t0001,Solar 67,0.0,0.0
43,t0001,Solar 65,0.0,0.0
44,t0001,Solar 64,0.0,0.0
45,t0001,Solar 63,0.0,0.0
46,t0001,Solar 62,0.0,0.0
47,t0001,Solar 61,0.0,0.0
48,t0001,Solar 60,0.0,0.0
49,t0001,Solar 05,0.0,0.0
50,t0001,Solar 59,0.0,0.0
51,t0001,Solar 58,0.0,0.0
52,t0001,Solar 57,0.0,0.0
53,t0001,Solar 56,0.0,0.0
54,t0001,Solar 55,0.0,0.0
55,t0001,Solar 66,0.0,0.0
56,t0001,Solar 26,0.0,0.0
57,t0001,Solar 51,0.0,0.0
58,t0001,Solar 24,0.0,0.0
59,t0001,Wind 11,0.304750545678574,0.3655716001952283
60,t0001,Wind 10,0.7690002584811867,0.7079154705388192
