index,timestep,node,demand_el,demand_el_da
0,t0001,bus063,0.0,0.0
1,t0001,bus038,0.0,0.0
2,t0001,bus037,0.0,0.0
3,t0001,bus058,12.825564462705186,12.206967967391217
4,t0001,bus057,12.825564462705186,12.206967967391217
5,t0001,bus097,16.031960496924206,15.258714640552942
6,t0001,bus044,17.10075589596873,16.275960410730903
7,t0001,bus051,18.16955326243034,17.29320805343443
8,t0001,bus050,18.16955326243034,17.29320805343443
9,t0001,bus040,21.14809878867852,20.128093795426874
10,t0001,bus052,19.23835062889196,18.31045569613796
11,t0001,bus043,19.23835062889196,18.31045569613796
12,t0001,bus068,0.0,0.0
13,t0001,bus042,39.54549468941135,37.63815528992832
14,t0001,bus053,24.58233549378293,23.39669203713004
15,t0001,bus033,26.100028580473605,24.841184476229788
16,t0001,bus039,28.85752495962939,27.46568260794416
17,t0001,bus067,29.92632035867392,28.482928378122114
18,t0001,bus116,0.0,0.0
19,t0001,bus118,35.27030719098199,33.569166591639764
20,t0001,bus098,36.339102590026506,34.58641236181772
21,t0001,bus047,36.339102590026506,34.58641236181772
22,t0001,bus035,37.43996688763012,35.63418029876648
23,t0001,bus041,39.54549468941135,37.63815528992832
24,t0001,bus079,41.683089422334575,39.67265057533537
25,t0001,bus034,66.93876751275255,63.71020887079696
26,t0001,bus048,21.375945361815184,20.34495098154502
27,t0001,bus045,56.64625058538008,53.91411570065922
28,t0001,bus081,0.0,0.0
29,t0001,bus100,120.46973765374062,134.64151262180587
30,t0001,bus108,6.51187692575703,7.277918723547064
31,t0001,bus102,16.279692314392577,18.194796808867657
32,t0001,bus109,26.04750770302812,29.11167489418825
33,t0001,bus084,35.815323091663664,40.028552979508845
34,t0001,bus093,39.07126155454218,43.66751234128238
35,t0001,bus103,74.88659917344141,83.69608155697642
36,t0001,bus107,89.95363049866589,100.53556280644328
37,t0001,bus085,78.14253763631993,87.33504091874995
38,t0001,bus083,65.11878378480587,72.77920347165583
39,t0001,bus086,68.37472224768437,76.41816283342936
40,t0001,bus101,71.63066071056289,80.0571221952029
41,t0001,bus094,97.678168413591,109.16879708939112
42,t0001,bus087,0.0,0.0
43,t0001,bus110,126.98161457949764,141.91943134535293
44,t0001,bus096,123.72567611661913,138.2804719835794
45,t0001,bus095,136.74944449536875,152.83632566685873
46,t0001,bus106,140.00538295824728,156.47528502863224
47,t0001,bus088,156.28507527263986,174.6700818374999
48,t0001,bus082,175.82070604991094,196.50383800814112
49,t0001,bus104,123.72567611661913,138.2804719835794
50,t0001,bus105,100.93410687646951,112.80775645116468
51,t0001,bus112,81.39847609919843,90.97400028052348
52,t0001,bus111,0.0,0.0
53,t0001,bus090,253.96324368623087,283.838878926891
54,t0001,bus089,0.0,0.0
55,t0001,bus092,211.6360291415746,236.53239098765
56,t0001,bus091,0.0,0.0
57,t0001,bus077,65.1966275496559,62.05209496976188
58,t0001,bus064,0.0,0.0
59,t0001,bus076,72.67821108230429,69.17283034121215
60,t0001,bus072,0.0,0.0
61,t0001,bus024,0.0,0.0
62,t0001,bus008,0.0,0.0
63,t0001,bus117,105.39356940673916,97.55110503952513
64,t0001,bus002,105.39356940673916,97.55110503952513
65,t0001,bus115,115.91803155804796,107.29242909360148
66,t0001,bus031,226.62348513704728,209.76015450913988
67,t0001,bus029,126.49214110787936,117.07970622257108
68,t0001,bus016,131.75437788161696,121.9503735236911
69,t0001,bus019,237.1479472883561,219.50147856321624
70,t0001,bus006,274.0332179145427,253.64207110145853
71,t0001,bus013,179.16411065911242,165.83229011600977
72,t0001,bus003,205.5249191339902,190.23155860017573
73,t0001,bus027,326.75483486429835,302.44060806979047
74,t0001,bus075,233.3253939024425,215.96336604869117
75,t0001,bus070,327.6484082645403,303.26768958072336
76,t0001,bus001,268.77099823505466,248.771419622584
77,t0001,bus074,337.5771643124931,312.4576347509808
78,t0001,bus018,316.18072531446694,292.65333094082087
79,t0001,bus032,310.91848854072936,287.78266363970084
80,t0001,bus113,0.0,0.0
81,t0001,bus011,368.9023251699731,341.45185208690737
82,t0001,bus015,474.2959116709617,439.0029729486779
83,t0001,bus012,247.6724265339144,229.24281843953804
84,t0001,bus025,0.0,0.0
85,t0001,bus010,0.0,0.0
86,t0001,bus055,67.33422228257913,64.08659025516894
87,t0001,bus073,0.0,0.0
88,t0001,bus004,158.11518635649475,146.34964200785706
89,t0001,bus026,0.0,0.0
90,t0001,bus054,120.77408076857436,114.94896302771755
91,t0001,bus062,82.29738344562463,78.32805538049278
92,t0001,bus036,35.174114267224354,33.47761319900636
93,t0001,bus056,89.77896304343884,85.44878700689192
94,t0001,bus046,29.92632035867392,28.482928378122114
95,t0001,bus078,75.88460121427204,72.22457139679717
96,t0001,bus060,83.36618081208624,79.34530302319631
97,t0001,bus061,0.0,0.0
98,t0001,bus007,100.13134972725103,92.6804535606506
99,t0001,bus049,92.98535514282368,88.5005299350025
100,t0001,bus059,296.0568193570227,281.77754834321286
101,t0001,bus080,138.9436359984218,132.24217295367754
102,t0001,bus069,0.0,0.0
103,t0001,bus066,41.683089422334575,39.67265057533537
104,t0001,bus099,0.0,0.0
105,t0001,bus071,0.0,0.0
106,t0001,bus020,94.86910725543034,87.80978098544878
107,t0001,bus028,89.60687048169275,82.93911368432877
108,t0001,bus014,73.77054125237325,68.28118507648463
109,t0001,bus021,73.77054125237325,68.28118507648463
110,t0001,bus065,0.0,0.0
111,t0001,bus022,52.72161694975559,48.79853696833192
112,t0001,bus017,56.57310520192623,52.36343127033637
113,t0001,bus023,36.88527062618663,34.14059253824232
114,t0001,bus005,0.0,0.0
115,t0001,bus009,0.0,0.0
116,t0001,bus030,0.0,0.0
117,t0001,bus114,42.147507399924194,39.01125983936232
118,t0002,bus051,17.587989570057093,16.459695113474968
119,t0002,bus052,18.62257730385133,17.427912577930673
120,t0002,bus040,20.471199019015557,19.15794259020419
121,t0002,bus050,17.587989570057093,16.459695113474968
122,t0002,bus044,16.553401836262868,15.491477649019268
123,t0002,bus045,54.83314036887015,51.31551670479238
124,t0002,bus057,12.415048996641149,11.618606008924491
125,t0002,bus058,12.415048996641149,11.618606008924491
126,t0002,bus037,0.0,0.0
127,t0002,bus038,0.0,0.0
128,t0002,bus063,0.0,0.0
129,t0002,bus097,15.51881600691344,14.523261966835534
130,t0002,bus043,18.62257730385133,17.427912577930673
131,t0002,bus034,64.79621858844159,60.63944933692418
132,t0002,bus048,20.691752771439784,19.36434750684208
133,t0002,bus053,23.79551406837767,22.268998117937212
134,t0002,bus033,25.26462945023229,23.643867666018537
135,t0002,bus039,27.933865003554587,26.14186797576002
136,t0002,bus067,28.96845083290401,27.11008365794376
137,t0002,bus116,0.0,0.0
138,t0002,bus118,34.14138950187516,31.95117098022227
139,t0002,bus098,35.17597533122459,32.919386662406005
140,t0002,bus047,35.17597533122459,32.919386662406005
141,t0002,bus035,36.24160361083319,33.91665337767149
142,t0002,bus041,38.27973853260728,35.82403905577311
143,t0002,bus079,40.34891400019573,37.76047398468451
144,t0002,bus064,0.0,0.0
145,t0002,bus042,38.27973853260728,35.82403905577311
146,t0002,bus068,0.0,0.0
147,t0002,bus095,140.43069968584248,125.59193860524395
148,t0002,bus087,0.0,0.0
149,t0002,bus108,6.687174754725403,5.980567234350112
150,t0002,bus102,16.717936886813508,14.95141808587528
151,t0002,bus109,26.74869901890161,23.92226893740045
152,t0002,bus084,36.77946115098971,32.89311978892561
153,t0002,bus093,40.12304852835241,35.88340340610067
154,t0002,bus103,76.90252459764665,68.77653653697209
155,t0002,bus107,92.37515601489118,82.61423569651028
156,t0002,bus085,80.24611197500934,71.76682015414714
157,t0002,bus083,66.87176246555855,59.805685685446925
158,t0002,bus086,70.21534984292124,62.79596930262198
159,t0002,bus101,73.55893722028394,65.78625291979704
160,t0002,bus094,100.30763623918554,89.70852185719747
161,t0002,bus081,0.0,0.0
162,t0002,bus110,130.39992263544983,116.62107441177298
163,t0002,bus096,127.05633525808716,113.63079079459791
164,t0002,bus106,143.77428706320518,128.582222222419
165,t0002,bus088,160.49222395001868,143.53364030829428
166,t0002,bus082,180.5537482141949,161.47534201134462
167,t0002,bus104,127.05633525808716,113.63079079459791
168,t0002,bus105,103.65122361654824,92.69880547437252
169,t0002,bus112,83.58969935237205,74.7571037713222
170,t0002,bus111,0.0,0.0
171,t0002,bus090,260.79986018920425,233.24216216549172
172,t0002,bus089,0.0,0.0
173,t0002,bus092,217.33320936518464,194.36846180027024
174,t0002,bus100,123.71274788072446,110.64050717742288
175,t0002,bus091,0.0,0.0
176,t0002,bus077,63.10984033477918,59.06125463816603
177,t0002,bus004,151.66764523540436,141.00979844630746
178,t0002,bus076,70.35195637578357,65.8387786716279
179,t0002,bus024,0.0,0.0
180,t0002,bus008,0.0,0.0
181,t0002,bus117,101.09588372387032,93.99176841921832
182,t0002,bus002,101.09588372387032,93.99176841921832
183,t0002,bus115,111.19118467908172,103.37766183596976
184,t0002,bus031,217.3823472482963,202.1066584352298
185,t0002,bus029,121.33410853630204,112.8078316427402
186,t0002,bus016,126.38176447963735,117.5007834327629
187,t0002,bus019,227.47764820350767,211.49255185198123
188,t0002,bus006,262.8588299144861,244.38746028227723
189,t0002,bus013,171.85824714582716,159.78158527981034
190,t0002,bus003,197.14412790159415,183.2906002933549
191,t0002,bus027,313.43059142602016,291.4054903093664
192,t0002,bus075,223.81096896675817,208.08353406615876
193,t0002,bus070,314.2877271419667,292.2023941866512
194,t0002,bus001,257.8111903683396,239.69452373719545
195,t0002,bus074,323.8116133960964,301.057026821291
196,t0002,bus018,303.2876675687998,281.97532050259593
197,t0002,bus032,298.2400116254645,277.2823687125732
198,t0002,bus113,0.0,0.0
199,t0002,bus011,353.859412683145,328.99333528474415
200,t0002,bus015,454.95531280420414,422.9851189489034
201,t0002,bus012,237.57296555590784,220.8784605136736
202,t0002,bus025,0.0,0.0
203,t0002,bus010,0.0,0.0
204,t0002,bus026,0.0,0.0
205,t0002,bus055,65.17901580236763,60.99768956707743
206,t0002,bus072,0.0,0.0
207,t0002,bus073,0.0,0.0
208,t0002,bus007,96.04824417772384,89.29883187413655
209,t0002,bus036,34.048275482211245,31.864030356880797
210,t0002,bus056,86.90535440315685,81.33025275610323
211,t0002,bus046,28.96845083290401,27.11008365794376
212,t0002,bus078,73.45571767272146,68.74342928272304
213,t0002,bus060,80.69782990483627,75.520949751641
214,t0002,bus061,0.0,0.0
215,t0002,bus054,116.90839296985509,109.4085538785027
216,t0002,bus049,90.00911760453954,84.23490514947035
217,t0002,bus059,286.58075274543666,268.1961913151584
218,t0002,bus080,134.49638444435698,125.86825077424965
219,t0002,bus099,0.0,0.0
220,t0002,bus069,0.0,0.0
