index,zone,slack,voltage
bus026,R1,True,138
bus010,R1,False,138
bus025,R1,False,138
bus012,R1,False,138
bus015,R1,False,138
bus011,R1,False,138
bus113,R1,False,138
bus032,R1,False,138
bus018,R1,False,138
bus074,R1,False,138
bus001,R1,False,138
bus070,R1,False,138
bus075,R1,False,138
bus027,R1,False,138
bus003,R1,False,138
bus013,R1,False,138
bus006,R1,False,138
bus019,R1,False,138
bus016,R1,False,138
bus029,R1,False,138
bus031,R1,False,138
bus115,R1,False,138
bus002,R1,False,138
bus117,R1,False,138
bus008,R1,False,138
bus024,R1,False,138
bus072,R1,False,138
bus073,R1,False,138
bus004,R1,False,138
bus007,R1,False,138
bus020,R1,False,138
bus028,R1,False,138
bus014,R1,False,138
bus021,R1,False,138
bus017,R1,False,138
bus022,R1,False,138
bus114,R1,False,138
bus023,R1,False,138
bus005,R1,False,138
bus009,R1,False,138
bus030,R1,False,138
bus071,R1,False,138
bus065,R2,False,138
bus066,R2,False,138
bus069,R2,False,138
bus099,R3,False,138
bus080,R3,False,138
bus059,R2,False,138
bus049,R2,False,138
bus054,R2,False,138
bus061,R2,False,138
bus060,R2,False,138
bus078,R3,False,138
bus046,R2,False,138
bus056,R2,False,138
bus036,R2,False,138
bus062,R2,False,138
bus076,R3,False,138
bus055,R2,False,138
bus077,R3,False,138
bus045,R2,False,138
bus034,R2,False,138
bus079,R3,False,138
bus041,R2,False,138
bus035,R2,False,138
bus047,R2,False,138
bus098,R3,False,138
bus118,R3,False,138
bus116,R2,False,138
bus067,R2,False,138
bus039,R2,False,138
bus033,R2,False,138
bus053,R2,False,138
bus048,R2,False,138
bus042,R2,False,138
bus043,R2,False,138
bus052,R2,False,138
bus040,R2,False,138
bus050,R2,False,138
bus051,R2,False,138
bus044,R2,False,138
bus097,R3,False,138
bus057,R2,False,138
bus058,R2,False,138
bus037,R2,False,138
bus038,R2,False,138
bus063,R2,False,138
bus064,R2,False,138
bus068,R2,False,138
bus081,R3,False,138
bus087,R3,False,138
bus100,R3,False,138
bus092,R3,False,138
bus089,R3,False,138
bus090,R3,False,138
bus111,R3,False,138
bus112,R3,False,138
bus105,R3,False,138
bus104,R3,False,138
bus082,R3,False,138
bus088,R3,False,138
bus106,R3,False,138
bus095,R3,False,138
bus096,R3,False,138
bus091,R3,False,138
bus110,R3,False,138
bus094,R3,False,138
bus101,R3,False,138
bus086,R3,False,138
bus083,R3,False,138
bus085,R3,False,138
bus107,R3,False,138
bus103,R3,False,138
bus093,R3,False,138
bus084,R3,False,138
bus109,R3,False,138
bus102,R3,False,138
bus108,R3,False,138
